Name,Ticker,Traded_Date,Company,Trade_Size_USD,Transaction,Party,Chamber
"Roberts, Pat",NFLX,2020-09-04,"Netflix, Inc.","50,001-100,000",Purchase,R,Senate
"Roberts, Pat",MSFT,2020-09-03,Microsoft Corporation,"15,001-50,000",Purchase,R,Senate
"Roberts, Pat",AAPL,2020-09-03,Apple Inc.,"15,001-50,000",Purchase,R,Senate
"Roberts, Pat",AAPL,2020-09-02,Apple Inc.,"50,001-100,000",Purchase,R,Senate
"Roberts, Pat",FB,2020-08-31,"Facebook, Inc.","15,001-50,000",Purchase,R,Senate
"Roberts, Pat",WMT,2020-08-19,Walmart Inc.,"1,001-15,000",Purchase,R,Senate
"Roberts, Pat",BBY,2020-08-18,"Best Buy Co., Inc.","1,001-15,000",Purchase,R,Senate
"Roberts, Pat",GLD,2020-08-18,SPDR Gold Shares,"15,001-50,000",Purchase,R,Senate
"Roberts, Pat",GOLD,2020-08-18,Barrick Gold Corporation,"1,001-15,000",Purchase,R,Senate
"Roberts, Pat",NVAX,2020-08-17,"Novavax, Inc.","1,001-15,000",Purchase,R,Senate
"Roberts, Pat",BA,2020-08-05,The Boeing Company,"15,001-50,000",Purchase,R,Senate
"Roberts, Pat",AAPL,2020-08-03,Apple Inc.,"50,001-100,000",Purchase,R,Senate
"Roberts, Pat",TSLA,2020-08-03,"Tesla, Inc.","50,001-100,000",Purchase,R,Senate
Susan W. Brooks,AMZN,2020-04-06,"AMAZON.COM, INC.","1,001-15,000",Purchase,R,House
Susan W. Brooks,GE,2020-04-06,GENERAL ELECTRIC COMPANY,"1,001-15,000",Purchase,R,House
Susan W. Brooks,VZ,2020-04-06,VERIZON COMMUNICATIONS INC.,"1,001-15,000",Purchase,R,House
Susan W. Brooks,DAL,2020-04-06,"DELTA AIR LINES, INC.","1,001-15,000",Purchase,R,House
Susan W. Brooks,MA,2020-04-06,MASTERCARD INCORPORATED,"1,001-15,000",Purchase,R,House
Susan W. Brooks,MSFT,2020-04-06,MICROSOFT CORPORATION,"1,001-15,000",Purchase,R,House
Susan W. Brooks,DIS,2020-04-06,WALT DISNEY COMPANY,"1,001-15,000",Purchase,R,House
Susan W. Brooks,QCOM,2020-04-06,QUALCOMM INCORPORATED,"1,001-15,000",Purchase,R,House
Susan W. Brooks,KO,2020-04-06,COCA-COLA COMPANY,"1,001-15,000",Purchase,R,House
Susan W. Brooks,AAPL,2020-04-06,APPLE INC.,"1,001-15,000",Purchase,R,House
Susan W. Brooks,XOM,2020-04-06,EXXON MOBIL CORPORATION,"1,001-15,000",Purchase,R,House
Susan W. Brooks,CVX,2020-04-06,CHEVRON CORPORATION,"1,001-15,000",Purchase,R,House
Suzan K. Delbene,MSFT,2020-09-30,MICROSOFT CORPORATION,"1,001-15,000",Purchase,D,House
Suzan K. Delbene,MSFT,2020-08-31,MICROSOFT CORPORATION,"5,000,001-25,000,000",Purchase,D,House
Suzan K. Delbene,MSFT,2020-06-30,MICROSOFT CORPORATION,"1,001-15,000",Purchase,D,House
Suzan K. Delbene,MSFT,2020-03-31,MICROSOFT CORPORATION,"1,001-15,000",Purchase,D,House
Suzan K. Delbene,MSFT,2020-03-02,MICROSOFT CORPORATION,"500,001-1,000,000",Purchase,D,House
"Toomey, Pat",TSLA,2020-08-28,"Tesla, Inc.","1,001-15,000",Purchase,R,Senate
"Toomey, Pat",AAPL,2020-08-27,Apple Inc.,"1,001-15,000",Purchase,R,Senate
"Toomey, Pat",SHOP,2020-12-22,Shopify Inc.,"1,001-15,000",Purchase,R,Senate
"Toomey, Pat",AIV,2020-11-30,Apartment Investment and Management Company,"1,001-15,000",Purchase,R,Senate
"Toomey, Pat",TSLA,2020-08-28,"Tesla, Inc.","1,001-15,000",Purchase,R,Senate
"Toomey, Pat",AAPL,2020-08-27,Apple Inc.,"1,001-15,000",Purchase,R,Senate
"Toomey, Pat",NKLA,2020-07-09,Nikola Corporation,"1,001-15,000",Purchase,R,Senate
"Toomey, Pat",TSLA,2020-07-07,"Tesla, Inc.","1,001-15,000",Purchase,R,Senate
"Wyden, Ron",WDAY,2020-10-16,"Workday, Inc.","1,001-15,000",Purchase,D,Senate
"Wyden, Ron",NVDA,2020-10-16,NVIDIA Corporation,"1,001-15,000",Purchase,D,Senate
"Wyden, Ron",AAPL,2020-09-02,Apple Inc.,"50,001-100,000",Purchase,D,Senate
"Wyden, Ron",AMZN,2020-09-01,"Amazon.com, Inc.","15,001-50,000",Purchase,D,Senate
"Wyden, Ron",AAPL,2020-08-27,Apple Inc.,"50,001-100,000",Purchase,D,Senate
"Wyden, Ron",IRBT,2020-08-26,iRobot Corporation,"1,001-15,000",Purchase,D,Senate
"Wyden, Ron",UPS,2020-08-25,"United Parcel Service, Inc.","50,001-100,000",Purchase,D,Senate
"Wyden, Ron",FDX,2020-08-25,FedEx Corporation,"15,001-50,000",Purchase,D,Senate
"Wyden, Ron",SQ,2020-08-24,"Square, Inc.","15,001-50,000",Purchase,D,Senate
"Wyden, Ron",AMWD,2020-08-24,American Woodmark Corporation,"1,001-15,000",Purchase,D,Senate
"Wyden, Ron",W,2020-08-24,Wayfair Inc.,"50,001-100,000",Purchase,D,Senate
"Wyden, Ron",UPS,2020-08-21,"United Parcel Service, Inc.","50,001-100,000",Purchase,D,Senate
"Wyden, Ron",SQ,2020-08-21,"Square, Inc.","15,001-50,000",Purchase,D,Senate
"Wyden, Ron",FDX,2020-08-21,FedEx Corporation,"15,001-50,000",Purchase,D,Senate
"Wyden, Ron",NVDA,2020-08-21,NVIDIA Corporation,"50,001-100,000",Purchase,D,Senate
"Wyden, Ron",NFLX,2020-08-20,"Netflix, Inc.","1,001-15,000",Purchase,D,Senate
"Wyden, Ron",NVDA,2020-08-19,NVIDIA Corporation,"15,001-50,000",Purchase,D,Senate
"Wyden, Ron",FDX,2020-08-19,FedEx Corporation,"15,001-50,000",Purchase,D,Senate
"Wyden, Ron",KR,2020-08-19,The Kroger Co.,"15,001-50,000",Purchase,D,Senate
"Wyden, Ron",UPS,2020-08-19,"United Parcel Service, Inc.","50,001-100,000",Purchase,D,Senate
"Wyden, Ron",DHI,2020-08-18,"D.R. Horton, Inc.","15,001-50,000",Purchase,D,Senate
"Wyden, Ron",LOW,2020-08-18,"Lowe&#39;s Companies, Inc.","15,001-50,000",Purchase,D,Senate
"Wyden, Ron",UPS,2020-08-17,"United Parcel Service, Inc.","50,001-100,000",Purchase,D,Senate
"Wyden, Ron",FDX,2020-08-14,FedEx Corporation,"15,001-50,000",Purchase,D,Senate
"Wyden, Ron",PSA,2020-08-14,Public Storage,"15,001-50,000",Purchase,D,Senate
"Wyden, Ron",UPS,2020-08-14,"United Parcel Service, Inc.","15,001-50,000",Purchase,D,Senate
"Wyden, Ron",F,2020-08-11,Ford Motor Company,"15,001-50,000",Purchase,D,Senate
"Wyden, Ron",DHI,2020-08-11,"D.R. Horton, Inc.","50,001-100,000",Purchase,D,Senate
"Wyden, Ron",AAPL,2020-08-07,Apple Inc.,"50,001-100,000",Purchase,D,Senate
"Wyden, Ron",KR,2020-08-05,The Kroger Co.,"1,001-15,000",Purchase,D,Senate
"Wyden, Ron",COUP,2020-08-05,Coupa Software Incorporated,"15,001-50,000",Purchase,D,Senate
"Wyden, Ron",BYND,2020-08-05,"Beyond Meat, Inc.","15,001-50,000",Purchase,D,Senate
"Wyden, Ron",PSA,2020-08-05,Public Storage,"15,001-50,000",Purchase,D,Senate
"Wyden, Ron",CLX,2020-08-05,The Clorox Company,"1,001-15,000",Purchase,D,Senate
